1;Temporal_Pole_Sup_L;Temporal pole: superior temporal gyrus (Left);-41;15;-20,
1;Temporal_Pole_Sup_R;Temporal pole: superior temporal gyrus (Right);47;15;-17,
1;Temporal_Mid_L;Middle temporal gyrus (Left);-57;-34;-2,
1;Temporal_Mid_R;Middle temporal gyrus (Right);56;-37;-1,
1;Temporal_Pole_Mid_L;Temporal pole: middle temporal gyrus (Left);-37;15;-34,
1;Temporal_Pole_Mid_R;Temporal pole: middle temporal gyrus (Right);43;15;-32,
1;Temporal_Inf_L;Inferior temporal gyrus (Left);-51;-28;-23,
1;Temporal_Inf_R;Inferior temporal gyrus (Right);53;-31;-22,
0;Cerebelum_Crus1_L;Cerebelum_Crus1_L;-36;-67;-29,
0;Cerebelum_Crus1_R;Cerebelum_Crus1_R;37;-67;-30,
0;Cerebelum_Crus2_L;Cerebelum_Crus2_L;-29;-73;-38,
0;Cerebelum_Crus2_R;Cerebelum_Crus2_R;32;-69;-40,
0;Cerebelum_3_L;Cerebelum_3_L;-9;-37;-19,
0;Cerebelum_3_R;Cerebelum_3_R;12;-34;-19,
0;Cerebelum_4_5_L;Cerebelum_4_5_L;-15;-43;-17,
0;Cerebelum_4_5_R;Cerebelum_4_5_R;17;-43;-18,
0;Cerebelum_6_L;Cerebelum_6_L;-23;-59;-22,
0;Cerebelum_6_R;Cerebelum_6_R;25;-58;-24,
0;Cerebelum_7b_L;Cerebelum_7b_L;-33;-60;-43,
0;Cerebelum_7b_R;Cerebelum_7b_R;35;-64;-47,
0;Cerebelum_8_L;Cerebelum_8_L;-26;-55;-48,
0;Cerebelum_8_R;Cerebelum_8_R;25;-56;-49,
0;Cerebelum_9_L;Cerebelum_9_L;-11;-49;-46,
0;Cerebelum_9_R;Cerebelum_9_R;9;-49;-46,
0;Cerebelum_10_L;Cerebelum_10_L;-23;-34;-42,
0;Cerebelum_10_R;Cerebelum_10_R;26;-34;-41,
0;Vermis_1_2;Vermis_1_2;1;-39;-20,
0;Vermis_3;Vermis_3;1;-40;-11,
0;Vermis_4_5;Vermis_4_5;1;-52;-6,
0;Vermis_6;Vermis_6;1;-67;-15,
0;Vermis_7;Vermis_7;1;-72;-25,
0;Vermis_8;Vermis_8;1;-64;-34,
0;Vermis_9;Vermis_9;1;-55;-35,
0;Vermis_10;Vermis_10;0;-46;-32,
